,baseline,seed,correlation,magnitude,split,loss,load_model,n_train,setup,one_task,setup2
117,2.7424875952419825e-06,0,0.9,0.01,val,7.080114983182284e-08,False,256,backprop,True,STL
118,2.7424875952419825e-06,0,0.9,0.01,val,1.1504602603906733e-08,False,512,backprop,True,STL
119,2.7424875952419825e-06,0,0.9,0.01,val,3.01301161798051e-09,False,1024,backprop,True,STL
120,0.03149237111210823,0,0.95,1.0,val,0.010578646324574947,True,32,backprop,True,PT+FT
121,0.03149237111210823,0,0.95,1.0,val,0.0034168357960879803,True,64,backprop,True,PT+FT
122,0.03149237111210823,0,0.95,1.0,val,0.00014245708007365465,True,128,backprop,True,PT+FT
123,0.03149237111210823,0,0.95,1.0,val,1.1359683185219183e-06,True,256,backprop,True,PT+FT
124,0.03149237111210823,0,0.95,1.0,val,1.996407803517286e-07,True,512,backprop,True,PT+FT
125,0.03149237111210823,0,0.95,1.0,val,4.408587273019293e-08,True,1024,backprop,True,PT+FT
126,0.03149237111210823,0,0.95,1.0,val,0.03149237111210823,False,32,backprop,True,STL
127,0.03149237111210823,0,0.95,1.0,val,0.019010029733181,False,64,backprop,True,STL
128,0.03149237111210823,0,0.95,1.0,val,0.006045896094292402,False,128,backprop,True,STL
129,0.03149237111210823,0,0.95,1.0,val,0.00023326606606133282,False,256,backprop,True,STL
130,0.03149237111210823,0,0.95,1.0,val,8.47476167109562e-06,False,512,backprop,True,STL
131,0.03149237111210823,0,0.95,1.0,val,2.16055710211549e-07,False,1024,backprop,True,STL
132,0.007756983861327171,0,0.95,0.5,val,0.0018075016560032964,True,32,backprop,True,PT+FT
133,0.007756983861327171,0,0.95,0.5,val,0.0006506596691906452,True,64,backprop,True,PT+FT
134,0.007756983861327171,0,0.95,0.5,val,3.4239641536260024e-05,True,128,backprop,True,PT+FT
135,0.007756983861327171,0,0.95,0.5,val,4.031570597362588e-07,True,256,backprop,True,PT+FT
136,0.007756983861327171,0,0.95,0.5,val,7.564297277440346e-08,True,512,backprop,True,PT+FT
137,0.007756983861327171,0,0.95,0.5,val,1.6312627693082504e-08,True,1024,backprop,True,PT+FT
138,0.007756983861327171,0,0.95,0.5,val,0.007756983861327171,False,32,backprop,True,STL
139,0.007756983861327171,0,0.95,0.5,val,0.004714719485491514,False,64,backprop,True,STL
140,0.007756983861327171,0,0.95,0.5,val,0.001349485362879932,False,128,backprop,True,STL
141,0.007756983861327171,0,0.95,0.5,val,7.129835285013542e-05,False,256,backprop,True,STL
142,0.007756983861327171,0,0.95,0.5,val,2.9767111300316174e-06,False,512,backprop,True,STL
143,0.007756983861327171,0,0.95,0.5,val,8.809776375073852e-08,False,1024,backprop,True,STL
144,0.00030258315382525325,0,0.95,0.1,val,4.7240991989383474e-05,True,32,backprop,True,PT+FT
145,0.00030258315382525325,0,0.95,0.1,val,2.4023996957112104e-05,True,64,backprop,True,PT+FT
146,0.00030258315382525325,0,0.95,0.1,val,5.862959824298741e-06,True,128,backprop,True,PT+FT
147,0.00030258315382525325,0,0.95,0.1,val,4.4815888600169274e-07,True,256,backprop,True,PT+FT
148,0.00030258315382525325,0,0.95,0.1,val,5.330211294563014e-08,True,512,backprop,True,PT+FT
149,0.00030258315382525325,0,0.95,0.1,val,1.3862297087996467e-08,True,1024,backprop,True,PT+FT
150,0.00030258315382525325,0,0.95,0.1,val,0.00030258315382525325,False,32,backprop,True,STL
151,0.00030258315382525325,0,0.95,0.1,val,0.00017225764167960733,False,64,backprop,True,STL
152,0.00030258315382525325,0,0.95,0.1,val,5.42547095392365e-05,False,128,backprop,True,STL
153,0.00030258315382525325,0,0.95,0.1,val,4.955618805979611e-06,False,256,backprop,True,STL
154,0.00030258315382525325,0,0.95,0.1,val,2.042570201865601e-07,False,512,backprop,True,STL
155,0.00030258315382525325,0,0.95,0.1,val,1.4812752802129125e-08,False,1024,backprop,True,STL
156,7.483081571990624e-05,0,0.95,0.05,val,1.2548288395919371e-05,True,32,backprop,True,PT+FT
157,7.483081571990624e-05,0,0.95,0.05,val,6.449953616538551e-06,True,64,backprop,True,PT+FT
158,7.483081571990624e-05,0,0.95,0.05,val,2.263416035930277e-06,True,128,backprop,True,PT+FT
159,7.483081571990624e-05,0,0.95,0.05,val,3.234501946280943e-07,True,256,backprop,True,PT+FT
160,7.483081571990624e-05,0,0.95,0.05,val,6.230560956055342e-08,True,512,backprop,True,PT+FT
161,7.483081571990624e-05,0,0.95,0.05,val,1.9396898309764765e-08,True,1024,backprop,True,PT+FT
162,7.483081571990624e-05,0,0.95,0.05,val,7.483081571990624e-05,False,32,backprop,True,STL
163,7.483081571990624e-05,0,0.95,0.05,val,4.0842583985067904e-05,False,64,backprop,True,STL
164,7.483081571990624e-05,0,0.95,0.05,val,1.3929992746852804e-05,False,128,backprop,True,STL
165,7.483081571990624e-05,0,0.95,0.05,val,1.1944501920879702e-06,False,256,backprop,True,STL
166,7.483081571990624e-05,0,0.95,0.05,val,7.495867038187498e-08,False,512,backprop,True,STL
167,7.483081571990624e-05,0,0.95,0.05,val,8.244274596336254e-09,False,1024,backprop,True,STL
168,2.839345597749343e-06,0,0.95,0.01,val,6.101554390625097e-07,True,32,backprop,True,PT+FT
169,2.839345597749343e-06,0,0.95,0.01,val,3.159279913234059e-07,True,64,backprop,True,PT+FT
170,2.839345597749343e-06,0,0.95,0.01,val,1.565874612197149e-07,True,128,backprop,True,PT+FT
171,2.839345597749343e-06,0,0.95,0.01,val,3.81785980607674e-08,True,256,backprop,True,PT+FT
172,2.839345597749343e-06,0,0.95,0.01,val,1.6624239762563775e-08,True,512,backprop,True,PT+FT
173,2.839345597749343e-06,0,0.95,0.01,val,1.0222114710245478e-08,True,1024,backprop,True,PT+FT
174,2.839345597749343e-06,0,0.95,0.01,val,2.839345597749343e-06,False,32,backprop,True,STL
175,2.839345597749343e-06,0,0.95,0.01,val,1.4772563190490473e-06,False,64,backprop,True,STL
