,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
1,1,2.4999833240601257,PR Pre,0,17,1000,2.0
2,2,2.64137912125252,PR Post,0,17,1000,2.0
3,3,0.3866579333941142,Overlap,0,17,1000,2.0
4,4,32.41546197130581,ENSD,1,17,1000,2.0
5,5,41.69962061937612,PR Pre,1,17,1000,2.0
6,6,33.71161616959797,PR Post,1,17,1000,2.0
7,7,0.0232893840099374,Overlap,1,17,1000,2.0
8,8,26.736495441921303,ENSD,2,17,1000,2.0
9,9,32.70499692288717,PR Pre,2,17,1000,2.0
10,10,27.205705469224764,PR Post,2,17,1000,2.0
11,11,0.0301618243878086,Overlap,2,17,1000,2.0
12,12,17.862003895843973,ENSD,3,17,1000,2.0
13,13,19.553466268147243,PR Pre,3,17,1000,2.0
14,14,18.725078591918827,PR Post,3,17,1000,2.0
15,15,0.04893084987998,Overlap,3,17,1000,2.0
16,16,20.497284263886414,ENSD,4,17,1000,2.0
17,17,22.48364158044061,PR Pre,4,17,1000,2.0
18,18,21.58276173748673,PR Post,4,17,1000,2.0
19,19,0.0423676402618487,Overlap,4,17,1000,2.0
20,20,22.003260575791444,ENSD,5,17,1000,2.0
21,21,24.45816924198046,PR Pre,5,17,1000,2.0
22,22,23.70005466526959,PR Post,5,17,1000,2.0
23,23,0.0380697132398684,Overlap,5,17,1000,2.0
24,24,21.0697328140238,ENSD,6,17,1000,2.0
25,25,24.919528014197105,PR Pre,6,17,1000,2.0
26,26,23.56240730205271,PR Post,6,17,1000,2.0
27,27,0.0359813868999481,Overlap,6,17,1000,2.0
28,28,20.51746041536969,ENSD,7,17,1000,2.0
29,29,25.08463395484845,PR Pre,7,17,1000,2.0
30,30,23.19519665413272,PR Post,7,17,1000,2.0
31,31,0.0353520419448614,Overlap,7,17,1000,2.0
0,0,2.565472500808197,ENSD,0,13,1000,0.5
1,1,2.7416939689870614,PR Pre,0,13,1000,0.5
2,2,3.271568145086972,PR Post,0,13,1000,0.5
3,3,0.2938787490129471,Overlap,0,13,1000,0.5
4,4,0.982367168162468,ENSD,1,13,1000,0.5
5,5,3.870223948550512,PR Pre,1,13,1000,0.5
6,6,4.396653898195891,PR Post,1,13,1000,0.5
7,7,0.0578428885589043,Overlap,1,13,1000,0.5
8,8,0.3591489385415049,ENSD,2,13,1000,0.5
9,9,3.07344893422937,PR Pre,2,13,1000,0.5
10,10,4.41095752557741,PR Post,2,13,1000,0.5
11,11,0.0265364022925496,Overlap,2,13,1000,0.5
12,12,0.3191272955275128,ENSD,3,13,1000,0.5
13,13,2.800913474249594,PR Pre,3,13,1000,0.5
14,14,4.131165688048669,PR Post,3,13,1000,0.5
15,15,0.0276319567734996,Overlap,3,13,1000,0.5
16,16,0.3082492091013966,ENSD,4,13,1000,0.5
17,17,2.735851713368915,PR Pre,4,13,1000,0.5
18,18,4.045265483791587,PR Post,4,13,1000,0.5
19,19,0.0279021977136532,Overlap,4,13,1000,0.5
20,20,0.2961001238895326,ENSD,5,13,1000,0.5
21,21,2.6953340628337106,PR Pre,5,13,1000,0.5
22,22,4.039072415130767,PR Post,5,13,1000,0.5
23,23,0.0272506366794308,Overlap,5,13,1000,0.5
24,24,0.287274291300985,ENSD,6,13,1000,0.5
25,25,2.631863356106172,PR Pre,6,13,1000,0.5
26,26,4.027085960737455,PR Post,6,13,1000,0.5
27,27,0.0271577450136343,Overlap,6,13,1000,0.5
28,28,0.2805458841613348,ENSD,7,13,1000,0.5
29,29,2.6315467152266256,PR Pre,7,13,1000,0.5
30,30,3.959889590895854,PR Post,7,13,1000,0.5
31,31,0.0269814869388937,Overlap,7,13,1000,0.5
0,0,2.43200553453507,ENSD,0,22,1000,1.0
1,1,2.4465283453507607,PR Pre,0,22,1000,1.0
2,2,2.478608444332847,PR Post,0,22,1000,1.0
3,3,0.4092643459637959,Overlap,0,22,1000,1.0
4,4,11.514349418155197,ENSD,1,22,1000,1.0
5,5,14.564368151570404,PR Pre,1,22,1000,1.0
6,6,12.107079785567814,PR Post,1,22,1000,1.0
7,7,0.0673445419718821,Overlap,1,22,1000,1.0
8,8,9.94107547234774,ENSD,2,22,1000,1.0
9,9,13.912105987853296,PR Pre,2,22,1000,1.0
10,10,11.382312268249764,PR Post,2,22,1000,1.0
11,11,0.0637489948421716,Overlap,2,22,1000,1.0
12,12,10.856892536892362,ENSD,3,22,1000,1.0
13,13,17.354559457783182,PR Pre,3,22,1000,1.0
14,14,13.220464511268554,PR Post,3,22,1000,1.0
15,15,0.0481033182392517,Overlap,3,22,1000,1.0
16,16,10.37750856996221,ENSD,4,22,1000,1.0
17,17,19.895722044312336,PR Pre,4,22,1000,1.0
18,18,13.77612474203501,PR Post,4,22,1000,1.0
19,19,0.0382494224856297,Overlap,4,22,1000,1.0
20,20,8.921988995961916,ENSD,5,22,1000,1.0
21,21,21.74017308465576,PR Pre,5,22,1000,1.0
22,22,12.736707290603023,PR Post,5,22,1000,1.0
23,23,0.0323039231201012,Overlap,5,22,1000,1.0
24,24,8.399491752187613,ENSD,6,22,1000,1.0
25,25,22.062981068049364,PR Pre,6,22,1000,1.0
26,26,12.24192047528824,PR Post,6,22,1000,1.0
27,27,0.0310947510103384,Overlap,6,22,1000,1.0
28,28,8.172147734341157,ENSD,7,22,1000,1.0
29,29,22.091930370069047,PR Pre,7,22,1000,1.0
30,30,11.939595460679874,PR Post,7,22,1000,1.0
31,31,0.0309432133411367,Overlap,7,22,1000,1.0
0,0,2.5614943649762014,ENSD,0,8,1000,2.0
1,1,2.492682564243762,PR Pre,0,8,1000,2.0
2,2,2.670896732454888,PR Post,0,8,1000,2.0
3,3,0.386343389749527,Overlap,0,8,1000,2.0
4,4,27.076641167307447,ENSD,1,8,1000,2.0
5,5,35.13619532610543,PR Pre,1,8,1000,2.0
6,6,28.46072535923599,PR Post,1,8,1000,2.0
7,7,0.0271463353807727,Overlap,1,8,1000,2.0
8,8,25.272999406402946,ENSD,2,8,1000,2.0
9,9,35.882579766899035,PR Pre,2,8,1000,2.0
10,10,28.125404583985954,PR Post,2,8,1000,2.0
11,11,0.0251108361408114,Overlap,2,8,1000,2.0
