,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.63,22,finetuning,10,0.25,
0,1.0,0.965,12,singletask,500,,
0,0.998,0.825,2,finetuning,500,0.25,
0,1.0,0.705,9,finetuning,50,2.0,
0,1.0,0.51,21,multitask,10,,0.0460204081632653
0,1.0,0.83,4,finetuning,100,0.25,
0,0.97,0.7,20,multitask,100,,0.09881632653061224
0,1.0,0.655,10,singletask,20,,
0,0.84,0.755,11,multitask,200,,0.08214285714285714
0,1.0,0.74,2,finetuning,10,1.0,
0,1.0,0.75,1,multitask,10,,0.08616326530612245
0,1.0,0.935,4,multitask,500,,0.24844897959183673
0,1.0,0.92,6,finetuning,50,1.0,
0,1.0,0.68,8,finetuning,10,0.5,
0,1.0,0.74,24,singletask,100,,
0,1.0,0.765,22,finetuning,50,0.125,
0,1.0,0.76,24,finetuning,50,1.0,
0,1.0,0.575,24,finetuning,10,0.125,
0,1.0,0.67,7,finetuning,10,0.25,
0,0.998,0.82,9,singletask,1000,,
0,1.0,0.88,45,singletask,500,,
0,0.99,0.81,49,multitask,100,,0.11518367346938775
0,1.0,0.59,20,finetuning,10,1.0,
0,1.0,0.765,16,multitask,20,,0.11038775510204081
0,1.0,0.66,2,multitask,50,,0.08979591836734693
0,1.0,0.86,12,finetuning,50,0.25,
0,1.0,0.74,28,singletask,20,,
0,1.0,0.905,29,multitask,200,,0.15587755102040815
0,0.51,0.585,18,multitask,100,,0.0653061224489796
0,1.0,0.865,7,singletask,500,,
0,0.998,0.9,8,finetuning,1000,2.0,
0,1.0,0.865,22,multitask,50,,0.12395918367346939
0,1.0,0.905,9,finetuning,100,1.0,
0,1.0,0.73,28,finetuning,100,2.0,
0,1.0,0.91,6,finetuning,200,0.25,
0,1.0,0.69,28,finetuning,20,1.0,
0,1.0,0.615,27,finetuning,20,2.0,
0,0.998,0.975,36,multitask,1000,,0.3124081632653061
0,0.999,0.995,0,finetuning,1000,1.0,
0,1.0,0.835,22,singletask,200,,
0,1.0,0.765,27,finetuning,1000,2.0,
0,1.0,0.805,0,finetuning,20,0.5,
0,1.0,0.77,19,finetuning,200,2.0,
0,0.997,0.84,16,finetuning,1000,0.25,
0,1.0,0.735,49,singletask,50,,
0,0.999,0.83,37,multitask,1000,,0.33291836734693875
0,1.0,0.895,23,singletask,200,,
0,1.0,0.675,23,finetuning,20,0.25,
0,1.0,0.555,25,finetuning,20,0.125,
0,1.0,0.95,26,finetuning,20,1.0,
0,0.998,0.885,9,finetuning,500,1.0,
0,1.0,0.745,38,singletask,20,,
