,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.595,19,finetuning,20,1.0,
0,1.0,0.755,34,finetuning,200,1.0,
0,1.0,0.505,16,finetuning,20,2.0,
0,1.0,0.945,22,finetuning,1000,1.0,
0,1.0,0.575,36,multitask,20,,0.01589795918367347
0,1.0,0.88,38,finetuning,1000,1.0,
0,1.0,0.725,44,finetuning,1000,2.0,
0,1.0,0.84,15,finetuning,50,1.0,
0,1.0,0.56,47,finetuning,10,0.125,
0,1.0,0.805,48,finetuning,200,0.5,
0,0.998,0.855,31,finetuning,500,2.0,
0,1.0,0.515,41,finetuning,50,0.125,
0,1.0,0.98,14,multitask,1000,,0.10130612244897959
0,1.0,0.575,35,finetuning,50,0.125,
0,1.0,0.98,26,finetuning,1000,0.25,
0,1.0,0.5,37,finetuning,20,0.5,
0,1.0,0.67,11,finetuning,10,1.0,
0,1.0,0.57,38,singletask,100,,
0,1.0,0.745,33,finetuning,10,0.125,
0,1.0,0.52,22,multitask,10,,0.014489795918367347
0,1.0,0.85,10,finetuning,50,0.25,
0,1.0,0.8,29,finetuning,10,0.125,
0,1.0,0.825,30,finetuning,10,0.25,
0,1.0,0.55,20,finetuning,200,2.0,
0,1.0,0.68,27,finetuning,100,0.25,
0,1.0,0.8,25,singletask,500,,
0,1.0,0.545,16,finetuning,10,1.0,
0,1.0,0.61,30,finetuning,20,0.5,
0,1.0,0.9,21,finetuning,500,0.25,
0,1.0,0.645,27,finetuning,100,0.5,
0,1.0,0.5,11,finetuning,100,2.0,
0,1.0,0.815,20,finetuning,100,0.125,
0,1.0,0.555,47,multitask,10,,0.013183673469387754
0,1.0,0.735,0,multitask,50,,0.02526530612244898
0,1.0,0.5,19,finetuning,10,2.0,
0,1.0,0.81,5,finetuning,100,1.0,
0,1.0,0.58,42,finetuning,100,0.5,
0,1.0,0.655,8,multitask,100,,0.04563265306122449
0,1.0,0.785,45,finetuning,200,2.0,
0,1.0,0.885,49,finetuning,100,0.25,
0,1.0,0.945,12,finetuning,50,1.0,
0,1.0,0.535,44,singletask,100,,
0,1.0,0.895,16,finetuning,200,0.5,
0,1.0,0.5,48,singletask,10,,
0,1.0,0.515,44,finetuning,20,0.125,
0,1.0,0.96,7,finetuning,500,0.5,
0,1.0,0.935,2,finetuning,1000,0.5,
0,1.0,0.74,40,finetuning,500,1.0,
0,1.0,0.5,11,finetuning,20,2.0,
0,1.0,0.89,17,finetuning,500,0.125,
0,1.0,0.885,6,finetuning,500,0.125,
0,1.0,0.665,42,singletask,200,,
0,1.0,0.985,0,finetuning,1000,0.125,
0,1.0,0.685,39,finetuning,200,0.125,
0,1.0,0.95,13,finetuning,1000,0.5,
0,1.0,0.84,25,finetuning,500,1.0,
0,1.0,0.905,30,finetuning,20,0.125,
0,1.0,0.865,29,multitask,500,,0.08763265306122449
0,1.0,0.5,38,finetuning,10,0.5,
0,1.0,0.755,44,finetuning,1000,0.25,
0,1.0,0.61,1,finetuning,100,2.0,
0,1.0,0.76,40,multitask,500,,0.10746938775510204
0,1.0,0.51,36,finetuning,100,0.125,
0,0.998,0.865,31,finetuning,1000,2.0,
0,1.0,0.845,25,finetuning,200,0.25,
0,1.0,0.92,15,finetuning,100,1.0,
0,1.0,0.52,36,finetuning,50,1.0,
0,1.0,0.865,41,finetuning,200,1.0,
0,1.0,0.85,6,finetuning,200,0.5,
0,1.0,0.585,32,finetuning,10,1.0,
0,1.0,0.76,33,multitask,100,,0.056755102040816324
0,1.0,0.85,24,finetuning,200,1.0,
0,1.0,0.75,1,multitask,200,,0.05510204081632653
0,1.0,0.5,14,finetuning,20,0.5,
0,1.0,0.5,39,finetuning,50,2.0,
0,1.0,0.915,23,finetuning,1000,1.0,
0,1.0,0.5,3,multitask,10,,0.012183673469387755
0,1.0,0.885,45,finetuning,1000,2.0,
0,1.0,0.855,39,finetuning,1000,1.0,
0,1.0,0.535,44,multitask,50,,0.02920408163265306
0,1.0,0.885,29,singletask,1000,,
0,1.0,0.93,24,finetuning,1000,0.125,
0,1.0,0.755,46,finetuning,10,0.125,
0,1.0,0.525,39,multitask,10,,0.013122448979591837
0,1.0,0.855,21,finetuning,500,2.0,
0,1.0,0.51,40,finetuning,50,0.125,
0,1.0,0.91,11,multitask,500,,0.06681632653061224
0,1.0,0.665,44,finetuning,500,2.0,
0,1.0,0.645,34,finetuning,50,0.125,
0,1.0,0.755,18,finetuning,50,0.5,
0,1.0,0.855,17,finetuning,500,0.5,
0,1.0,0.53,23,singletask,50,,
0,1.0,0.59,32,finetuning,10,0.125,
0,1.0,0.515,35,finetuning,20,2.0,
0,1.0,0.61,28,finetuning,10,0.125,
0,1.0,0.59,19,multitask,50,,0.02946938775510204
0,1.0,0.64,10,finetuning,200,2.0,
0,1.0,0.81,2,multitask,500,,0.09059183673469388
0,1.0,0.875,43,finetuning,200,0.5,
0,1.0,0.895,4,finetuning,200,1.0,
0,1.0,0.5,33,singletask,50,,
0,1.0,0.88,24,finetuning,100,0.25,
0,1.0,0.605,6,multitask,50,,0.03016326530612245
0,1.0,0.555,44,finetuning,100,2.0,
0,1.0,0.835,40,singletask,1000,,
0,1.0,0.86,38,finetuning,500,0.25,
0,1.0,0.84,16,finetuning,50,0.5,
0,1.0,0.96,22,finetuning,500,0.25,
0,1.0,0.685,41,multitask,10,,0.014959183673469387
0,1.0,0.785,17,finetuning,100,0.5,
0,1.0,0.5,31,singletask,10,,
0,1.0,0.485,21,finetuning,100,2.0,
0,1.0,0.865,31,finetuning,20,0.25,
0,1.0,0.78,43,multitask,200,,0.056755102040816324
0,1.0,0.48,42,singletask,20,,
0,1.0,0.5,12,finetuning,10,0.5,
0,1.0,0.965,26,finetuning,200,0.5,
0,1.0,0.515,34,finetuning,20,1.0,
0,1.0,0.935,12,multitask,200,,0.03891836734693878
0,1.0,0.68,47,finetuning,20,0.125,
0,1.0,0.78,23,multitask,100,,0.04914285714285714
0,1.0,0.515,37,finetuning,50,2.0,
0,1.0,0.955,1,finetuning,1000,0.5,
0,1.0,0.89,36,finetuning,1000,0.125,
0,1.0,0.5,33,finetuning,10,2.0,
0,1.0,0.82,34,finetuning,500,0.125,
0,1.0,0.91,1,finetuning,500,2.0,
0,1.0,0.5,38,finetuning,50,1.0,
0,1.0,0.935,10,finetuning,1000,0.5,
0,1.0,0.835,29,finetuning,20,0.125,
0,1.0,0.745,33,finetuning,20,0.125,
0,1.0,0.98,15,finetuning,500,1.0,
0,1.0,0.55,36,finetuning,10,0.5,
0,1.0,0.895,32,finetuning,1000,2.0,
0,1.0,0.965,26,finetuning,200,0.25,
0,1.0,0.615,42,multitask,50,,0.029448979591836736
0,1.0,0.765,25,finetuning,100,1.0,
0,1.0,0.67,10,finetuning,20,1.0,
0,0.999,0.855,28,finetuning,1000,2.0,
0,1.0,0.61,5,multitask,10,,0.01373469387755102
0,1.0,0.93,29,finetuning,1000,0.25,
0,1.0,0.725,39,multitask,500,,0.09675510204081633
0,1.0,0.645,0,finetuning,200,2.0,
0,1.0,0.985,14,finetuning,200,1.0,
0,1.0,0.69,32,finetuning,50,0.5,
0,1.0,0.935,15,finetuning,100,0.125,
0,1.0,0.93,4,finetuning,100,0.125,
0,1.0,0.845,20,finetuning,1000,1.0,
0,1.0,0.825,48,finetuning,200,0.25,
0,1.0,0.655,43,singletask,200,,
